0     -41.367303   356.895674   {360, 723, 822, 955, 1057, 2279}
1      25.285865   297.363633   {388, 888, 942, 1423, 1771, 2527}
2     -29.059145    64.036824   {212, 377, 478, 497, 1912, 2197}
3      46.715520   196.901714   {196, 544, 574, 1659, 1974, 1990}
4      73.874315   342.936098   {792, 815, 838, 1572, 1670, 1790}
5      -4.651009    51.853380   {376, 753, 791, 809, 819, 2481}
6      49.500000   211.717474   {156, 527, 737, 1283, 1456, 2278}
7      37.985049   101.683801   {454, 490, 680, 1130, 1167, 2042}
8     -22.717474    75.004053   {387, 553, 1320, 1357, 1842, 2185}
9      82.326754   180.000000   {291, 890, 956, 1214, 1484, 1964}
10     22.700006   250.519111   {764, 857, 1296, 1317, 1373, 1630}
11      7.630989    77.168544   {236, 252, 698, 965, 1866, 2438}
12      6.337509   176.151439   {375, 1449, 1732, 2145, 2309, 2495}
13    -17.918234   203.927358   {417, 502, 849, 953, 1833, 2130}
14     66.383039   311.237721   {193, 585, 672, 1321, 1323, 1795}
15    -49.282526    44.103179   {828, 912, 1704, 2141, 2161, 2559}
16     24.097206    57.814672   {778, 1415, 1753, 1856, 2166, 2303}
17     75.159612   254.936012   {192, 337, 866, 1436, 1865, 2171}
18    -45.151105    83.439683   {899, 1083, 1277, 1401, 1419, 2346}
19    -78.956831    69.652351   {273, 702, 1084, 1217, 1712, 2125}
20     54.308437   348.222994   {871, 1052, 1780, 2221, 2380, 2445}
21    -67.563727    69.820734   {334, 341, 350, 2360, 2364, 2476}
22     40.284076    42.296868   {188, 880, 914, 1469, 1540, 2379}
23     36.977471   297.732301   {664, 1017, 1638, 2117, 2132, 2225}
24     35.587951   138.331203   { 34,  85, 1322, 2037, 2154, 2190}
25    -26.549897   155.846862   {122, 658, 1410, 1888, 2073, 2131}
26     82.589536   121.145987   {668, 855, 956, 1214, 1241, 1604}
27    -33.692819   250.794032   {410, 523, 1433, 1923, 1978, 2013}
28     43.487078   234.110245   { 29, 524, 1602, 1719, 1935, 2195}
29     47.536890   235.051768   { 28, 573, 1602, 1744, 2195, 2483}
30    -17.686052   119.990138   {134, 984, 1652, 1711, 1774, 2242}
31    -21.624264   163.587783   {904, 1410, 1804, 2216, 2257, 2542}
32     -2.329263   228.590961   {1092, 1205, 1245, 1641, 1767, 2063}
33    -13.232319   133.682089   {293, 632, 805, 1378, 1914, 1915}
34     33.533063   143.447259   { 24, 583, 972, 1113, 1322, 2037}
35    -15.884956   215.223327   {118, 283, 1158, 1331, 1434, 1939}
36     -7.630989   257.168544   {611, 617, 705, 1366, 1736, 2482}
37    -29.026119    36.325602   {1236, 1824, 2081, 2086, 2400, 2554}
38     -6.877991   207.659910   {330, 647, 967, 1042, 1752, 1768}
39    -29.093776   332.144717   {722, 894, 1033, 2014, 2103, 2233}
40    -47.289833   206.741978   {489, 545, 1015, 1335, 1531, 2029}
41     82.589536   238.854013   {394, 890, 1635, 1751, 1964, 2171}
42     17.918234   336.072642   { 88, 686, 1054, 1785, 2234, 2305}
43    -19.410982   262.518793   {700, 741, 1196, 1372, 1544, 2429}
44    -70.325088     7.046406   {354, 1446, 2045, 2109, 2205, 2316}
45     -6.337509   356.151439   {172, 754, 1089, 1338, 1505, 1699}
46    -13.723033   238.733084   {656, 1239, 1628, 1980, 2194, 2507}
47      9.243003   314.660703   {339, 1135, 1613, 1729, 2064, 2158}
48     -9.349704   195.450437   {241, 444, 1261, 1714, 2238, 2339}
49     -9.349704   344.549563   {473, 760, 775, 1381, 1397, 1644}
50    -63.243352   261.593563   {102, 509, 514, 761, 2134, 2556}
51     11.497853    42.023852   {340, 368, 600, 1003, 1672, 1904}
52    -46.715520   163.098286   {325, 586, 1550, 1918, 1981, 2148}
53     15.162077   348.095879   {298, 615, 676, 830, 1343, 1557}
54     12.715907   187.824043   {197, 299, 338, 1539, 2283, 2347}
55     75.159612   105.063988   {590, 620, 668, 901, 2235, 2460}
56     49.282526   135.896821   {125, 428, 485, 665, 1099, 1286}
57    -37.656481   341.196501   {272, 515, 1552, 1692, 2011, 2193}
58    -11.439750   281.283699   {153, 232, 807, 1396, 2138, 2251}
59    -11.304037   117.993540   {1011, 1652, 1655, 1774, 2504, 2519}
60     23.412655   347.641119   {255, 594, 675, 676, 1024, 1248}
61    -48.541466   247.330039   {602, 711, 1077, 1121, 2020, 2470}
62    -58.500000   328.282526   {401, 455, 684, 1584, 1675, 2116}
63      0.000000    62.247210   {266, 275, 371, 697, 1646, 2532}
64    -49.500000   148.282526   {378, 1258, 1458, 1601, 1853, 2275}
65    -44.747402    71.198181   {899, 1181, 1285, 1738, 1800, 1814}
66    -58.796976   128.502427   {120, 263, 429, 501, 937, 1451}
67     58.282526     0.000000   {568, 871, 892, 1257, 2221, 2416}
68    -19.021866   286.634088   {777, 1396, 1587, 1762, 1816, 2291}
69     75.103681   301.101793   {639, 1321, 1921, 1956, 2418, 2494}
70    -27.444011   262.244757   {700, 1262, 1599, 1818, 1961, 2429}
71      0.000000   156.361288   {187, 307, 332, 627, 949, 2377}
72      3.770351   300.490548   {115, 752, 1494, 1817, 2088, 2357}
73      3.816822   284.351830   {191, 511, 597, 1201, 1577, 1863}
74    -51.613800   277.503246   {623, 1178, 1466, 1716, 1927, 2172}
75      3.818978   259.630496   {312, 535, 1710, 1793, 1861, 2046}
76    -52.201411    76.082595   {528, 950, 1125, 1181, 2179, 2346}
77     -8.477065   233.025008   {1092, 1628, 1767, 2354, 2406, 2507}
78     43.930117   347.113033   {575, 784, 924, 1802, 1889, 2120}
79     -7.538963   240.747078   {315, 905, 927, 1239, 2354, 2507}
80    -16.853732   187.962187   {745, 1043, 2097, 2200, 2368, 2442}
81    -75.103681   238.898207   {603, 1624, 1840, 1926, 2016, 2436}
82     11.377621    35.157696   {600, 1003, 1031, 1909, 2106, 2499}
83     15.884956   215.223327   {546, 629, 1009, 1563, 1778, 1847}
84     48.135654   259.541412   {328, 420, 591, 667, 2135, 2340}
85     40.284076   137.703132   { 24, 485, 1289, 1608, 2037, 2154}
86    -19.828680   339.797554   {176, 666, 1002, 1023, 1161, 1391}
87     21.823464    40.386178   {224, 1503, 1640, 2087, 2385, 2464}
88     19.828680   339.797554   { 42, 1024, 1343, 1785, 2038, 2305}
