0     -43.487078   305.889755   { 29,  32,  43,  48,  91, 134}
1     -58.282526    90.000000   { 22,  39,  47, 103, 137,  -1}
2       0.000000   211.717474   {  7,  42,  50,  83, 120, 161}
3     -36.000000   148.282526   {  8,  78,  98, 127, 130, 131}
4      18.000000   148.282526   { 24,  53,  85, 140, 141, 153}
5     -15.240162    80.306276   { 13,  62,  79, 142, 154, 159}
6       0.000000    31.717474   { 17,  33,  76,  86, 117, 123}
7      18.000000   211.717474   {  2,  11,  27,  54,  83, 161}
8     -43.487078   125.889755   {  3,  45,  78, 103, 130, 137}
9     -74.141263   270.000000   { 10,  32,  96, 109, 114, 116}
10    -90.000000   180.000000   {  9,  39,  65,  81,  96, 114}
11     25.171262   229.499295   {  7,  54,  60,  83, 107, 155}
12     30.000000    69.094843   { 67,  74,  80,  93, 112, 113}
13    -30.000000    69.094843   {  5,  22,  77, 119, 154, 159}
14     58.282526    90.000000   { 28,  97, 105, 106, 113,  -1}
15      0.000000    58.282526   { 74,  86, 123, 142, 159,  -1}
16    -54.000000    31.717474   { 47,  77,  81,  94, 125, 133}
17      9.349704    15.450437   {  6,  23,  33,  46,  76, 150}
18    -15.858737   180.000000   { 50,  66,  98, 101, 118, 139}
19     59.617533   239.079104   { 56,  71, 100, 102, 107, 115}
20     44.591422   283.035293   { 21,  61,  71, 102, 132, 160}
21     59.617533   300.920896   { 20,  71, 104, 115, 129, 160}
22    -44.591422    76.964707   {  1,  13,  47,  77, 103, 154}
23     25.714593    16.765721   { 17,  58,  76, 126, 148, 150}
24     25.714593   163.234279   {  4,  31,  53, 124, 146, 153}
25     25.714593   343.234279   { 59,  89, 111, 135, 148, 150}
26     72.000000   148.282526   { 51,  55,  97, 100, 105, 152}
27     25.714593   196.765721   {  7,  31,  54,  87, 146, 161}
28     44.591422   103.035293   { 14,  44,  67, 105, 110, 113}
29    -44.591422   283.035293   {  0,  32,  35, 108, 109, 134}
30      0.000000   105.858737   { 37,  62,  70,  79, 145, 156}
31     15.858737   180.000000   { 24,  27, 118, 146, 153, 161}
32    -59.617533   300.920896   {  0,   9,  29,  43,  96, 109}
33     -9.349704    15.450437   {  6,  17,  46,  68, 117, 147}
34    -58.282526   180.000000   { 63,  65,  90, 114, 127, 130}
35    -31.717474   270.000000   { 29,  72,  92, 108, 128, 134}
36      0.000000   270.000000   { 40,  72, 128, 144, 149, 157}
37     15.240162    99.693724   { 30,  44,  62,  67, 112, 156}
38    -25.171262   229.499295   { 41,  42,  69,  92, 120, 138}
39    -74.141263    90.000000   {  1,  10,  47,  65,  81, 137}
40     15.240162   260.306276   { 36,  60,  61, 149, 155, 157}
41    -36.000000   211.717474   { 38,  42,  63,  90, 101, 138}
42    -18.000000   211.717474   {  2,  38,  41,  50, 101, 120}
